iter	Logloss
0	0.6125609507
1	0.5760272482
2	0.5538610526
3	0.5420467693
4	0.5282423901
5	0.5163043478
6	0.5091429096
7	0.506419065
8	0.5015788323
9	0.4975446015
10	0.4903403723
11	0.4838928102
12	0.4790663889
13	0.4712185464
14	0.4670218969
15	0.4614009028
16	0.4561533268
17	0.4500197761
18	0.4457200243
19	0.4391994853
20	0.4343154364
21	0.4309953833
22	0.4253882608
23	0.4197103327
24	0.4143623081
25	0.4101998552
26	0.4071173084
27	0.4014951985
28	0.3967770663
29	0.3936932228
30	0.3892659425
31	0.3794766151
32	0.3769818935
33	0.3716154136
34	0.3654637393
35	0.3607170195
36	0.3596521913
37	0.3544676408
38	0.3479185745
39	0.3445193325
40	0.3424412422
41	0.3390376276
42	0.3347037696
43	0.3323670941
44	0.3286643349
45	0.3243107852
46	0.3206440319
47	0.3185586439
48	0.3150482781
49	0.3125789778
50	0.3104291773
51	0.308015665
52	0.3067253022
53	0.3041553422
54	0.3017262093
55	0.2991190974
56	0.2969416441
57	0.2938186887
58	0.2926233465
59	0.2910058546
60	0.2889600611
61	0.2881767062
62	0.2859732285
63	0.2847476703
64	0.2828368538
65	0.2802010035
66	0.278401371
67	0.2777358948
68	0.2764474017
69	0.2741606038
70	0.2724224588
71	0.2702084869
72	0.2684024615
73	0.2656423395
74	0.2640677592
75	0.2623306093
76	0.2619059868
77	0.2581482537
78	0.2551903404
79	0.2538582723
80	0.2519260301
81	0.2512649114
82	0.2493200491
83	0.247796266
84	0.2435120745
85	0.2415862555
86	0.2399091155
87	0.2385544909
88	0.2371723642
89	0.2356472694
90	0.2344843597
91	0.2293852855
92	0.2279695051
93	0.2243224283
94	0.2215595773
95	0.2186726657
96	0.2179700829
97	0.2150742904
98	0.2121893238
99	0.2105252111
100	0.2098250257
101	0.2084878763
102	0.2060941613
103	0.2045218577
104	0.2027991374
105	0.2005874875
106	0.1997721223
107	0.1983340418
108	0.1966102208
109	0.1954727927
110	0.1920143097
111	0.1901780984
112	0.1887262819
113	0.187483339
114	0.1855146989
115	0.1836995664
116	0.1820572261
117	0.1806204121
118	0.1788134368
119	0.1773152257
120	0.1753837073
121	0.1736559208
122	0.1722252284
123	0.1704245405
124	0.1687001315
125	0.1675860439
126	0.1669333989
127	0.1658883227
128	0.1636226488
129	0.1625676513
130	0.1616671114
131	0.160944475
132	0.1590094133
133	0.1564838425
134	0.1549174041
135	0.154118896
136	0.1523498565
137	0.1504410604
138	0.149314428
139	0.1484713649
140	0.1467296314
141	0.1457490129
142	0.1448092404
143	0.1440558
144	0.1428931315
145	0.1419234747
146	0.1409413635
147	0.1384713245
148	0.1367715828
149	0.136316895
150	0.1348847702
151	0.1335242351
152	0.1327527917
153	0.1316565713
154	0.1308676377
155	0.1294860689
156	0.128455
157	0.127171
158	0.1262078869
159	0.1261250492
160	0.1245330388
161	0.1239291708
162	0.1231763787
163	0.1222544282
164	0.1220254483
165	0.1210448374
166	0.1204068406
167	0.1195938653
168	0.1184698263
169	0.1179458407
170	0.1173896337
171	0.1170700209
172	0.1155422497
173	0.1148383853
174	0.114286958
175	0.1134849443
176	0.1126194528
177	0.1116862693
178	0.1108932646
179	0.1108134726
180	0.1099988839
181	0.1087252651
182	0.1081993495
183	0.1075668863
184	0.1069709718
185	0.1060473928
186	0.1055143756
187	0.104949137
188	0.1039058173
189	0.1031719555
190	0.1020898781
191	0.1018594885
192	0.101261825
193	0.1003673765
194	0.09985834054
195	0.09883181003
196	0.09830305982
197	0.09749542206
198	0.09723790738
199	0.09631230049
