iter	Passed	Remaining
0	0	193
1	1	191
2	2	186
3	4	207
4	10	419
5	12	414
6	14	396
7	17	424
8	19	404
9	23	439
10	24	416
11	25	403
12	27	392
13	31	419
14	35	439
15	38	439
16	39	424
17	40	408
18	41	397
19	42	385
20	44	375
21	45	368
22	53	414
23	55	406
24	57	400
25	59	394
26	60	390
27	68	422
28	78	461
29	83	470
30	84	462
31	86	454
32	90	457
33	92	452
34	93	442
35	95	433
36	96	426
37	98	419
38	105	436
39	108	434
40	109	425
41	111	418
42	112	409
43	113	401
44	114	395
45	122	409
46	124	405
47	126	399
48	127	391
49	128	384
50	129	377
51	131	374
52	136	377
53	137	372
54	139	368
55	141	364
56	143	359
57	147	361
58	150	358
59	151	352
60	152	347
61	154	343
62	157	343
63	162	344
64	165	344
65	167	339
66	169	335
67	170	331
68	172	327
69	179	333
70	181	329
71	182	325
72	184	320
73	185	315
74	193	322
75	195	319
76	198	317
77	200	312
78	201	308
79	205	308
80	209	307
81	210	303
82	214	301
83	215	297
84	216	292
85	219	291
86	223	290
87	225	286
88	226	282
89	228	278
90	231	277
91	234	275
92	238	274
93	240	270
94	241	266
95	242	262
96	243	258
97	245	255
98	248	253
99	254	254
100	256	251
101	257	247
102	258	243
103	259	239
104	260	235
105	262	232
106	267	232
107	268	228
108	271	226
109	272	223
110	274	219
111	277	217
112	281	216
113	282	213
114	284	210
115	287	208
116	289	205
117	295	205
118	297	202
119	298	198
120	299	195
121	300	192
122	302	189
123	307	188
124	311	186
125	312	183
126	314	180
127	315	177
128	316	174
129	318	171
130	322	169
131	325	167
132	327	165
133	329	162
134	330	159
135	331	156
136	333	153
137	339	152
138	341	149
139	342	146
140	344	144
141	345	141
142	346	138
143	349	135
144	354	134
145	355	131
146	356	128
147	357	125
148	359	122
149	360	120
150	362	117
151	368	116
152	371	114
153	372	111
154	373	108
155	375	105
156	376	103
157	378	100
158	382	98
159	386	96
160	388	94
161	389	91
162	391	88
163	394	86
164	398	84
165	400	81
166	401	79
167	404	77
168	406	74
169	410	72
170	413	70
171	414	67
172	415	64
173	417	62
174	418	59
175	422	57
176	428	55
177	430	53
178	432	50
179	433	48
180	434	45
181	434	43
182	436	40
183	439	38
184	442	35
185	444	33
186	447	31
187	449	28
188	452	26
189	457	24
190	458	21
191	460	19
192	462	16
193	464	14
194	469	12
195	470	9
196	471	7
197	472	4
198	473	2
199	474	0
